date,close
2025-04-30,3274.15
2025-05-01,3237.85
2025-05-02,3240.45
2025-05-03,3242.05
2025-05-04,3239.75
2025-05-05,3331.05
2025-05-06,3382.85
2025-05-07,3370.05
2025-05-08,3323.95
2025-05-09,3324.75
2025-05-10,3328.35
2025-05-11,3272.85
2025-05-12,3234.05
2025-05-13,3254.65
2025-05-14,3182.85
2025-05-15,3251.25
2025-05-16,3202.25
2025-05-17,3200.35
2025-05-18,3239.35
2025-05-19,3226.95
2025-05-20,3296.95
2025-05-21,3318.15
2025-05-22,3297.85
2025-05-23,3357.65
2025-05-24,3360.45
2025-05-25,3344.45
2025-05-26,3347.85
2025-05-27,3303.15
2025-05-28,3286.65
2025-05-29,3314.55
2025-05-30,3289.35
2025-05-31,3292.75
2025-06-01,3313.25
2025-06-02,3390.05
2025-06-03,3357.25
2025-06-04,3373.65
2025-06-05,3359.25
2025-06-06,3310.35
2025-06-07,3312.35
2025-06-08,3314.95
2025-06-09,3323.65
2025-06-10,3324.65
2025-06-11,3369.15
2025-06-12,3383.75
2025-06-13,3432.6
2025-06-14,3438.5
2025-06-15,3448.5
2025-06-16,3395.7
2025-06-17,3388.8
2025-06-18,3375.2
2025-06-19,3365.7
2025-06-20,3368.6
2025-06-21,3375.6
2025-06-22,3379.2
2025-06-23,3355.5
2025-06-24,3321.7
2025-06-25,3333.4
2025-06-26,3321.6
2025-06-27,3274.6
2025-06-28,3275.6
2025-06-29,3263.9
2025-06-30,3311.5
2025-07-01,3341.6
2025-07-02,3362.0
2025-07-03,3329.2
2025-07-04,3336.91
2025-07-06,3333.48
2025-07-07,3339.88
2025-07-08,3301.56
2025-07-09,3319.73
2025-07-10,3323.3
2025-07-11,3356.06
2025-07-12,3363.55
2025-07-13,3369.55
2025-07-14,3345.85
2025-07-15,3326.75
2025-07-16,3349.75
2025-07-17,3343.45
2025-07-18,3349.95
2025-07-19,3350.45
2025-07-20,3347.85
2025-07-21,3399.45
2025-07-22,3428.05
2025-07-23,3386.95
2025-07-24,3368.95
2025-07-25,3337.35
2025-07-26,3339.65
2025-07-27,3329.75
2025-07-28,3314.75
2025-07-29,3327.85
2025-07-30,3279.05
2025-07-31,3295.15
2025-08-01,3362.95
2025-08-02,3373.25
2025-08-03,3359.25
2025-08-04,3374.85
2025-08-05,3379.85
2025-08-06,3372.15
2025-08-07,3405.45
2025-08-08,3399.25
2025-08-09,3410.05
2025-08-10,3395.35
2025-08-11,3347.15
2025-08-12,3350.55
2025-08-13,3357.65
2025-08-14,3333.45
2025-08-15,3336.15
2025-08-16,3335.15
2025-08-17,3334.55
2025-08-18,3334.65
2025-08-19,3316.95
2025-08-20,3349.75
2025-08-21,3339.05
2025-08-22,3372.45
2025-08-23,3374.65
2025-08-24,3367.45
2025-08-25,3364.55
2025-08-26,3391.25
2025-08-27,3395.95
2025-08-28,3417.05
2025-08-29,3447.95
2025-08-30,3455.15
2025-08-31,3450.25
2025-09-01,3475.45
2025-09-02,3529.45
2025-09-03,3562.05
2025-09-04,3541.25
2025-09-05,3586.15
2025-09-06,3592.65
2025-09-07,3592.45
2025-09-08,3629.55
2025-09-09,3635.65
2025-09-10,3639.9
2025-09-11,3634.8
2025-09-12,3644.2
2025-09-13,3645.7
2025-09-14,3642.2
2025-09-15,3678.9
2025-09-16,3691.9
2025-09-17,3663.1
2025-09-18,3640.4
2025-09-19,3685.1
2025-09-20,3687.3
2025-09-21,3688.5
2025-09-22,3740.1
2025-09-23,3765.6
2025-09-24,3741.2
2025-09-25,3748.9
2025-09-26,3760.4
2025-09-27,3781.0
2025-09-28,3770.6
2025-09-29,3830.8
2025-09-30,3860.2
2025-10-01,3862.2
2025-10-02,3857.2
2025-10-03,3887.2
2025-10-04,3891.6
2025-10-05,3899.8
2025-10-06,3963.5
2025-10-07,3989.7
2025-10-08,4021.4
2025-10-09,3975.4
2025-10-10,4018.5
2025-10-11,4014.8
2025-10-12,4042.5
2025-10-13,4115.1
2025-10-14,4158.6
2025-10-15,4213.4
2025-10-16,4346.7
2025-10-17,4251.9
2025-10-18,4259.1
2025-10-19,4255.2
2025-10-20,4367.4
2025-10-21,4123.2
2025-10-22,4102.2
2025-10-23,4116.1
2025-10-24,4112.2
2025-10-25,4116.1
2025-10-26,4064.5
2025-10-27,3998.5
2025-10-28,3965.0
2025-10-29,3952.8
2025-10-30,4036.6
2025-10-31,4002.2
2025-11-01,4017.2
2025-11-02,3980.6
2025-11-03,3997.8
2025-11-04,3934.7
2025-11-05,3973.7
2025-11-06,3989.2
2025-11-07,4000.6
2025-11-08,3996.3
2025-11-09,4011.9
2025-11-10,4119.9
2025-11-11,4142.8
2025-11-12,4191.2
2025-11-13,4186.0
2025-11-14,4084.1
2025-11-15,4084.8
2025-11-16,4096.6
2025-11-17,4036.8
2025-11-18,4076.8
2025-11-19,4104.5
2025-11-20,4079.0
2025-11-21,4065.2
2025-11-22,4067.9
2025-11-23,4075.2
2025-11-24,4143.9
2025-11-25,4133.4
2025-11-26,4164.9
2025-11-27,4163.4
2025-11-28,4239.0
2025-11-29,4231.4
2025-11-30,4222.4
2025-12-01,4227.7
2025-12-02,4212.7
2025-12-03,4207.2
2025-12-04,4206.1
2025-12-05,4197.6
2025-12-06,4199.6
2025-12-07,4201.4
2025-12-08,4194.8
2025-12-09,4210.82
2025-12-10,4232.44
2025-12-11,4276.7
2025-12-12,4299.3
2025-12-13,4305.5
2025-12-14,4302.4
2025-12-15,4304.2
2025-12-16,4308.2
2025-12-17,4339.3
2025-12-18,4335.0
2025-12-19,4338.8
2025-12-20,4339.1
2025-12-21,4355.3
2025-12-22,4460.3
2025-12-23,4503.5
2025-12-24,4479.2
2025-12-25,4495.2
2025-12-26,4532.1
2025-12-27,4545.15
2025-12-28,4527.2
2025-12-29,4345.7
2025-12-30,4339.2
2025-12-31,4319.0
2026-01-01,4348.4
2026-01-02,4332.4
2026-01-03,4372.3
2026-01-04,4372.6
2026-01-05,4440.6
2026-01-06,4493.5
2026-01-07,4463.6
2026-01-08,4475.8
2026-01-09,4513.75
2026-01-10,4526.75
2026-01-11,4540.25
2026-01-12,4599.15
2026-01-13,4597.05
2026-01-14,4615.45
2026-01-15,4610.35
2026-01-16,4596.65
2026-01-17,4625.05
2026-01-18,4672.75
2026-01-19,4665.55
2026-01-20,4775.95
2026-01-21,4778.65
2026-01-22,4947.59
2026-01-23,4983.1
2026-01-24,5031.2
2026-01-25,5039.6
2026-01-26,5043.83
2026-01-27,5172.46
2026-01-28,5512.75
2026-01-29,5438.4
2026-01-30,4891.3
2026-01-31,4853.4
2026-02-01,4859.8
